month,year,sku,units_sold
7,2024,WD-LOOSEEARTH200,6
7,2024,WD-LOOSEEARTH50,1
7,2024,WD-M100,3
7,2024,WD-M1000,12
7,2024,WD-M25,1
7,2024,WD-M250,7
7,2024,WD-M500,11
7,2024,WD-MX100,1
7,2024,WD-MX1000,19
7,2024,WD-MX25,2
7,2024,WD-MX250,10
7,2024,WD-MX500,2
7,2024,WD-MXM1,6
7,2024,WD-MXM2,2
7,2024,WD-MXM4,15
7,2024,WD-PBM15,1
7,2024,WD-PBM20,2
7,2024,WD-RM1,1
7,2024,WD-RM4,2
7,2024,WD-WM1,3
7,2024,WD-WM2,1
7,2024,WD-WM4,2
7,2024,WD-WT,5
7,2024,whitetub2maggots,1
7,2024,whitetub2worms,23
7,2024,whitetub5maggots,1
7,2024,whitetub5worms,4
7,2024,WORMCOLFOUR,1
7,2024,WORMCOLONE,10
7,2024,WORMCOLTWO,1
8,2024,BOXATHREE,1
8,2024,BOXATWO,1
8,2024,CANBLANKET,2
8,2024,COWLEG,1
8,2024,COWTAP,3
8,2024,CPWK323,2
8,2024,CPWM912,2
8,2024,EH1000,2
8,2024,fishingwormcasts,2
8,2024,ICEPACK,164
8,2024,INSULATED BOX,50
8,2024,MXEARTH1000,3
8,2024,MXEARTH500,6
8,2024,RNG00,1
8,2024,RNG105,1
8,2024,RNG106,1
8,2024,RNG21,1
8,2024,RNG38,1
8,2024,RNG69,1
8,2024,RNG73,1
8,2024,RNG83,1
8,2024,RNG85,1
8,2024,RNG86,1
8,2024,SAWDUST,6
8,2024,TWWORMCONDITIONER,2
8,2024,VUKDM0,5
8,2024,VUKSC0,1
8,2024,VUKTH0,1
8,2024,WD-BEDKIT15,3
8,2024,WD-BEDKIT20,1
8,2024,WD-COMPOSTING1000,1
8,2024,WD-COMPOSTING250,2
8,2024,WD-COMPOSTING500,6
8,2024,WD-FOOD1000,2
8,2024,WD-FOOD3000,1
8,2024,WD-FOOD4000,2
8,2024,WD-FOOD500,24
8,2024,WD-FOOD5000,5
8,2024,WD-HANDLOB100,14
8,2024,WD-HANDLOB150,2
8,2024,WD-HANDLOB200,4
8,2024,WD-HANDLOB300,3
8,2024,WD-HANDLOB50,11
8,2024,WD-HANDMLOB100,2
8,2024,WD-HANDMLOB200,1
8,2024,WD-HANDMLOB50,2
8,2024,WD-HANDMXLOB200,1
8,2024,WD-HANDMXLOB50,3
8,2024,WD-KEEP-L-DEN500,1
8,2024,WD-KEEP-M-DEN1000,1
8,2024,WD-L100,4
8,2024,WD-L1000,16
8,2024,WD-L25,1
8,2024,WD-L250,8
8,2024,WD-L500,15
8,2024,WD-LOB100,7
8,2024,WD-LOB25,1
8,2024,WD-LOB50,12
8,2024,WD-LOOSEEARTH100,1
8,2024,WD-LOOSEEARTH200,2
8,2024,WD-LOOSEEARTH50,2
8,2024,WD-M100,6
8,2024,WD-M1000,14
8,2024,WD-M25,5
8,2024,WD-M250,9
8,2024,WD-M500,13
8,2024,WD-MX100,1
8,2024,WD-MX1000,9
8,2024,WD-MX25,1
8,2024,WD-MX250,3
8,2024,WD-MX500,6
8,2024,WD-MXM1,4
8,2024,WD-MXM2,5
8,2024,WD-MXM4,12
8,2024,WD-PBM10,3
8,2024,WD-PBM20,1
8,2024,WD-RM2,1
8,2024,WD-WM1,7
8,2024,WD-WM2,1
8,2024,whitetub2maggots,2
8,2024,whitetub2worms,22
8,2024,whitetub5maggots,2
8,2024,whitetub5worms,9
8,2024,WORMCOLFOUR,2
8,2024,WORMCOLONE,2
8,2024,WORMCOLTWO,2
9,2024,BOXAFIVE,1
9,2024,BOXAONE,1
9,2024,BOXATHREE,1
9,2024,CANBLANKET,4
9,2024,COWLEG,1
9,2024,CPWK323,2
9,2024,CPWM912,1
9,2024,EH250,1
9,2024,F07-003,1
9,2024,ICEPACK,195
9,2024,INSULATED BOX,33
9,2024,MXEARTH1000,1
9,2024,MXEARTH500,4
9,2024,RNG00,1
9,2024,RNG18,1
9,2024,RNG30,1
9,2024,RNG70,1
9,2024,RNG93,1
9,2024,TWCANLID,1
9,2024,TWWORMCONDITIONER,1
9,2024,VDEG5BLACK,2
9,2024,VDELDB2KG,1
9,2024,VUKSCRB0,1
9,2024,VUKVA0,1
9,2024,WD-BEDKIT10,1
9,2024,WD-BEDKIT15,5
9,2024,WD-BEDKIT20,2
9,2024,WD-BEDKIT60,2
9,2024,WD-COMPOSTING250,8
9,2024,WD-COMPOSTING500,5
9,2024,WD-FOOD1000,2
9,2024,WD-FOOD3000,3
9,2024,WD-FOOD500,32
9,2024,WD-HANDLOB100,10
9,2024,WD-HANDLOB150,7
9,2024,WD-HANDLOB200,6
9,2024,WD-HANDLOB300,3
9,2024,WD-HANDLOB50,3
9,2024,WD-HANDMLOB200,2
9,2024,WD-HANDMLOB50,5
9,2024,WD-HANDMXLOB100,1
9,2024,WD-HANDMXLOB200,1
9,2024,WD-HANDMXLOB50,2
9,2024,WD-KEEP-L-DEN1000,1
9,2024,WD-KEEP-L-LOB100,5
9,2024,WD-KEEP-M-DEN1000,1
9,2024,WD-KEEP-M-LOB50,1
9,2024,WD-L100,6
9,2024,WD-L1000,8
9,2024,WD-L250,8
9,2024,WD-L500,7
9,2024,WD-LOB100,23
9,2024,WD-LOB25,5
9,2024,WD-LOB50,11
9,2024,WD-LOOSEEARTH100,1
9,2024,WD-LOOSEEARTH50,1
9,2024,WD-M100,4
9,2024,WD-M1000,4
9,2024,WD-M25,3
9,2024,WD-M250,6
9,2024,WD-M500,7
9,2024,WD-MX100,5
9,2024,WD-MX1000,8
9,2024,WD-MX25,1
9,2024,WD-MX250,1
9,2024,WD-MX500,2
9,2024,WD-MXM1,3
9,2024,WD-MXM2,3
9,2024,WD-MXM4,10
9,2024,WD-PBM10,2
9,2024,WD-PBM15,1
9,2024,WD-RM2,1
9,2024,WD-RM4,2
9,2024,WD-WM1,9
9,2024,WD-WM4,1
9,2024,WD-WT,4
9,2024,whitetub2worms,20
9,2024,whitetub5worms,9
9,2024,WORMCOLFIVE,1
9,2024,WORMCOLFOUR,2
9,2024,WORMCOLONE,3
9,2024,WORMCOLTEN,2
10,2024,BOXAONE,1
10,2024,BOXATWO,1
10,2024,CANBLANKET,1
10,2024,COWLEG,1
10,2024,CPWM911,2
10,2024,CPWM912,1
10,2024,EH1000,1
10,2024,HC71315,1
10,2024,ICEPACK,112
10,2024,INSULATED BOX,26
10,2024,LAWNCOLFOUR,8
10,2024,MXEARTH1000,4
10,2024,MXEARTH500,1
10,2024,RNG44,1
10,2024,RNG52,1
10,2024,RNG67,1
10,2024,RNG71,1
10,2024,SAWDUST,3
10,2024,TWCANLID,1
10,2024,TWWORMCONDITIONER,2
10,2024,VUKDM0,4
10,2024,VUKRSA0,1
10,2024,VUKSC0,1
10,2024,WD-BEDKIT10,2
10,2024,WD-BEDKIT15,6
10,2024,WD-BEDKIT20,1
10,2024,WD-COMPOSTING1000,2
10,2024,WD-COMPOSTING250,2
10,2024,WD-COMPOSTING500,3
10,2024,WD-FOOD1000,2
10,2024,WD-FOOD500,29
10,2024,WD-HANDLOB100,7
10,2024,WD-HANDLOB150,3
10,2024,WD-HANDLOB200,1
10,2024,WD-HANDLOB300,1
10,2024,WD-HANDLOB50,7
10,2024,WD-HANDMLOB100,1
10,2024,WD-HANDMLOB50,1
10,2024,WD-HANDMXLOB100,3
10,2024,WD-HANDMXLOB200,1
10,2024,WD-HANDMXLOB50,1
10,2024,WD-KEEP-L-DEN1000,1
10,2024,WD-KEEP-L-DEN500,1
10,2024,WD-KEEP-L-LOB100,3
10,2024,WD-KEEP-M-DEN1000,1
10,2024,WD-KEEP-M-LOB100,2
10,2024,WD-L100,4
10,2024,WD-L1000,13
10,2024,WD-L25,1
10,2024,WD-L250,10
10,2024,WD-L500,7
10,2024,WD-LOB100,8
10,2024,WD-LOB25,4
10,2024,WD-LOB50,4
10,2024,WD-LOOSEEARTH100,1
10,2024,WD-LOOSEEARTH50,3
10,2024,WD-M100,2
10,2024,WD-M1000,9
10,2024,WD-M25,5
10,2024,WD-M250,6
10,2024,WD-M500,8
10,2024,WD-MX100,1
10,2024,WD-MX1000,12
10,2024,WD-MX250,2
10,2024,WD-MX500,5
10,2024,WD-MXM1,2
10,2024,WD-MXM2,1
10,2024,WD-MXM4,17
10,2024,WD-PBM10,1
10,2024,WD-PBM30,1
10,2024,WD-RM2,1
10,2024,WD-RM4,6
10,2024,WD-WM1,2
10,2024,WD-WM2,1
10,2024,WD-WM4,4
10,2024,WORMCOLFIVE,1
10,2024,WORMCOLFOUR,1
10,2024,WORMCOLONE,15
10,2024,WORMCOLTHREE,1
10,2024,whitetub2worms,10
10,2024,whitetub5maggots,4
10,2024,whitetub5worms,5
11,2024,CANBLANKET,1
11,2024,COWLEG,2
11,2024,COWTAP,1
11,2024,CPWM911,1
11,2024,EH1000,2
11,2024,EH250,1
11,2024,fishingwormcasts,2
11,2024,ICEPACK,1
11,2024,INSULATED BOX,1
11,2024,MW-WD1,1
11,2024,MXEARTH500,3
11,2024,SAWDUST,1
11,2024,TWCANLID,2
11,2024,VUKDM0,1
11,2024,WD-BEDKIT15,1
11,2024,WD-COMPOSTING1000,1
11,2024,WD-COMPOSTING250,14
11,2024,WD-COMPOSTING500,2
11,2024,WD-FOOD1000,4
11,2024,WD-FOOD3000,1
11,2024,WD-FOOD500,3
11,2024,WD-FOOD5000,1
11,2024,WD-HANDLOB100,1
11,2024,WD-HANDLOB150,1
11,2024,WD-HANDLOB50,1
11,2024,WD-HANDMLOB50,2
11,2024,WD-HANDMXLOB200,5
11,2024,WD-KEEP-L-DEN1000,7
11,2024,WD-KEEP-M-LOB50,2
11,2024,WD-L100,1
11,2024,WD-L1000,1
11,2024,WD-L250,3
11,2024,WD-L500,2
11,2024,WD-LOB100,5
11,2024,WD-LOB25,5
11,2024,WD-LOB50,7
11,2024,WD-LOOSEEARTH50,5
11,2024,WD-M100,1
11,2024,WD-M1000,2
11,2024,WD-M250,3
11,2024,WD-M500,1
11,2024,WD-MX100,2
11,2024,WD-MX250,4
11,2024,WD-MX500,1
11,2024,WD-MXM1,2
11,2024,WD-MXM2,3
11,2024,WD-MXM4,1
11,2024,WD-PBM10,1
11,2024,WD-RM2,5
11,2024,WD-RM4,3
11,2024,WD-WM1,2
12,2024,BOXAFIVE,1
12,2024,BOXAFOUR,1
12,2024,BOXAONE,1
12,2024,BOXATWO,2
12,2024,CANBLANKET,1
12,2024,COWLEG-1PIECE,2
12,2024,COWTAP,1
12,2024,CPWK913,1
12,2024,CPWM912,3
12,2024,fishingwormcasts,1
12,2024,ICEPACK,41
12,2024,INSULATED BOX,14
12,2024,LAWNCOLFOUR,1
12,2024,MXEARTH500,1
12,2024,SAWDUST,2
12,2024,total-discount,1
12,2024,TWCANLID,1
12,2024,TWWORMCONDITIONER,2
12,2024,WD-BEDKIT10,1
12,2024,WD-BEDKIT15,4
12,2024,WD-COMPOSTING1000,1
12,2024,WD-COMPOSTING250,2
12,2024,WD-COMPOSTING500,1
12,2024,WD-FOOD1900,1
12,2024,WD-FOOD3000,1
12,2024,WD-FOOD500,12
12,2024,WD-HANDLOB100,3
12,2024,WD-HANDLOB150,1
12,2024,WD-HANDLOB50,1
12,2024,WD-HANDMLOB50,1
12,2024,WD-HANDMXLOB100,1
12,2024,WD-HANDMXLOB50,2
12,2024,WD-KEEP-L-DEN1000,1
12,2024,WD-KEEP-MX-DEN250,1
12,2024,WD-L100,2
12,2024,WD-L1000,3
12,2024,WD-L250,4
12,2024,WD-L500,2
12,2024,WD-LOB100,3
12,2024,WD-LOB25,2
12,2024,WD-LOB50,3
12,2024,WD-LOOSEEARTH100,1
12,2024,WD-M100,2
12,2024,WD-M1000,2
12,2024,WD-M250,5
12,2024,WD-M500,8
12,2024,WD-MX1000,2
12,2024,WD-MX25,1
12,2024,WD-MX250,2
12,2024,WD-MX500,2
12,2024,WD-MXM1,1
12,2024,WD-RM2,2
12,2024,WD-RM4,1
12,2024,WD-WM1,2
12,2024,WD-WM2,2
12,2024,WD-WM4,1
12,2024,WD-WT,4
12,2024,whitetub2maggots,1
12,2024,whitetub2worms,3
12,2024,whitetub5worms,1
12,2024,WORMCOLTWO,1
